chr	pos	ref_base	strand	mod	CTR1_depth	CTR1_basecall_accuracy	CTR1_mod_freq	CTR1_mod_prob	CTR2_depth	CTR2_basecall_accuracy	CTR2_mod_freq	CTR2_mod_prob	INH21_depth	INH21_basecall_accuracy	INH21_mod_freq	INH21_mod_prob	INH22_depth	INH22_basecall_accuracy	INH22_mod_freq	INH22_mod_prob	INH101_depth	INH101_basecall_accuracy	INH101_mod_freq	INH101_mod_prob	INH102_depth	INH102_basecall_accuracy	INH102_mod_freq	INH102_mod_prob	INH201_depth	INH201_basecall_accuracy	INH201_mod_freq	INH201_mod_prob	INH202_depth	INH202_basecall_accuracy	INH202_mod_freq	INH202_mod_prob
chr5	129023059	A	+	m6A	77	0.974	0.065	0.733	86	0.988	0.093	0.7	122	0.975	0.049	0.7	233	0.991	0.06	0.7	109	0.991	0.018	0.717	155	0.994	0.045	0.733	224	0.991	0.022	0.8	258	0.996	0.012	0.667
chr5	129845928	A	+	m6A	31	0.968	0.419	0.767	54	0.963	0.426	0.833	65	0.985	0.246	0.8	122	0.975	0.32	0.867	44	0.955	0.114	0.833	78	0.949	0.154	0.667	113	0.991	0.115	0.767	142	0.972	0.134	0.733
chr5	142903793	A	-	m6A	38	0.947	0.158	0.667	36	0.972	0.194	0.8	113	0.991	0.168	0.833	169	0.97	0.118	0.717	97	0.979	0.052	0.667	88	0.977	0.057	0.667	234	0.97	0.038	0.767	191	0.979	0.031	0.567
chr5	142904685	A	-	m6A	37	1	0.054	0.767	35	0.971	0.143	0.6	110	1	0.045	0.7	171	0.994	0.018	0.567	85	1	0.012	0.567	81	0.988	0.037	0.6	201	1	0.015	0.633	170	0.994	0.006	0.533
chr6	39405781	A	-	m6A	34	0.912	0.088	0.833	42	0.976	0.167	0.9	56	1	0.143	0.75	108	0.991	0.13	0.783	51	1	0.098	0.733	77	0.987	0.078	0.783	109	0.991	0.055	0.867	114	0.991	0.035	0.9
chr6	67284071	A	+	m6A	53	0.962	0.283	0.767	82	1	0.415	0.867	78	0.974	0.423	0.8	161	0.988	0.466	0.867	66	0.955	0.333	0.867	105	0.99	0.295	0.833	143	0.986	0.231	0.8	152	0.987	0.276	0.867
chr6	67284100	A	+	m6A	51	0.98	0.098	0.6	86	0.988	0.081	0.667	84	0.964	0.06	0.633	170	0.965	0.094	0.683	70	0.986	0.029	0.583	115	0.991	0.035	0.883	150	1	0.047	0.7	164	0.982	0.03	0.633
chr6	86525889	A	-	m6A	26	1	0.077	0.667	29	0.931	0.103	0.9	48	1	0.104	0.733	97	0.99	0.031	0.667	39	1	0.077	0.767	65	1	0.031	0.667	89	1	0.022	0.767	73	1	0.055	0.767
chr6	117924107	A	+	m6A	30	1	0.133	0.767	48	1	0.083	0.833	43	1	0.093	0.85	91	1	0.143	0.8	48	1	0.021	0.833	70	1	0.071	0.667	105	1	0.029	0.7	94	1	0.053	0.9
chr6	122729848	A	-	m6A	38	0.947	0.605	0.833	50	1	0.58	0.867	67	0.97	0.567	0.883	146	0.993	0.644	0.9	71	0.986	0.451	0.867	86	1	0.43	0.9	99	0.96	0.303	0.833	119	1	0.353	0.9
chr6	122730044	A	-	m6A	35	0.971	0.2	0.833	50	0.96	0.24	0.883	63	1	0.159	0.883	144	1	0.292	0.867	67	1	0.149	0.817	84	0.988	0.107	0.833	94	0.989	0.106	0.8	120	0.992	0.108	0.8
chr6	124716745	A	+	m6A	39	1	0.359	0.783	44	1	0.455	0.683	40	1	0.25	0.8	90	1	0.411	0.733	64	1	0.203	0.8	70	0.986	0.257	0.733	97	1	0.103	0.717	113	0.982	0.097	0.867
chr6	124811232	A	-	m6A	56	1	0.125	0.833	55	0.982	0.109	0.75	52	0.962	0.077	0.75	131	0.947	0.076	0.75	71	0.972	0.028	0.683	96	0.99	0.031	0.833	96	0.99	0.01	0.6	153	0.993	0.013	0.867
chr6	131365292	A	-	m6A	26	1	0.231	0.75	27	0.963	0.333	0.6	40	0.95	0.175	0.667	81	0.938	0.136	0.7	49	0.98	0.163	0.75	62	1	0.081	0.767	87	0.908	0.034	0.8	96	0.969	0.052	0.833
chr6	148355504	A	+	m6A	31	1	0.355	0.867	32	1	0.375	0.733	50	1	0.24	0.717	93	1	0.161	0.7	27	1	0.185	0.633	71	0.986	0.127	0.733	83	1	0.181	0.633	79	1	0.203	0.667
chr6	148355514	A	+	m6A	29	1	0.207	0.717	30	0.967	0.167	0.733	50	0.96	0.06	0.833	86	1	0.186	0.717	29	1	0	NA	66	0.97	0.091	0.8	77	0.987	0.065	0.867	74	0.986	0.081	0.817
chr7	3705809	C	+	m6A	113	0.053	0.053	0.683	170	0.076	0.065	0.6	185	0.097	0.022	0.683	397	0.055	0.02	0.633	168	0.071	0.03	0.567	219	0.082	0.073	0.7	361	0.058	0.028	0.867	406	0.076	0.037	0.767
chr8	27275374	A	+	m6A	37	1	0.135	0.767	49	1	0.184	0.767	62	0.984	0.113	0.867	129	0.961	0.163	0.667	69	0.986	0.029	0.933	102	0.99	0.059	0.817	125	0.984	0.04	0.767	136	0.993	0.044	0.8
chr8	46209216	A	-	m6A	33	0.97	0.333	0.9	29	1	0.379	0.7	44	1	0.205	0.9	91	0.989	0.308	0.817	36	1	0.083	0.933	50	1	0.12	0.633	99	0.96	0.091	0.567	102	1	0.108	0.833
chr9	59679090	G	+	m6A	136	0.051	0.051	0.733	173	0.075	0.127	0.883	223	0.081	0.09	0.917	452	0.053	0.066	0.75	174	0.011	0.057	0.6	245	0.033	0.049	0.817	348	0.04	0.02	0.667	413	0.044	0.044	0.783
chr9	78478633	A	-	m6A	610	0.975	0.126	0.667	784	0.978	0.142	0.7	996	0.976	0.099	0.667	2077	0.974	0.118	0.7	938	0.979	0.054	0.667	1294	0.971	0.059	0.667	2051	0.973	0.039	0.667	2132	0.973	0.031	0.667
chr9	110939828	A	-	m6A	39	1	0.205	0.783	43	0.953	0.395	0.7	79	0.987	0.177	0.617	156	0.968	0.173	0.7	44	1	0.045	0.7	83	0.988	0.096	0.683	95	0.979	0.053	0.6	112	0.991	0.107	0.65
chr9	110939884	A	-	m6A	38	0.974	0.132	0.633	42	0.976	0.143	0.65	77	0.974	0.13	0.85	158	0.994	0.095	0.733	43	0.93	0.047	0.833	82	1	0.037	0.667	91	0.989	0.022	0.733	110	0.991	0.045	0.8
chr10	81182139	A	+	m6A	108	0.926	0.287	0.9	148	0.932	0.236	0.8	173	0.965	0.162	0.8	431	0.944	0.206	0.867	195	0.959	0.128	0.833	287	0.948	0.077	0.883	372	0.968	0.078	0.767	410	0.959	0.063	0.9
chr10	81182260	A	+	m6A	92	0.935	0.424	0.833	137	0.971	0.555	0.867	169	0.959	0.444	0.833	380	0.982	0.466	0.9	183	0.962	0.251	0.85	267	0.985	0.273	0.9	359	0.986	0.203	0.9	394	0.985	0.168	0.883
chr10	91116944	A	-	m6A	33	1	0.182	0.683	41	0.976	0.317	0.733	66	0.97	0.167	0.733	137	1	0.212	0.667	74	0.986	0.081	0.717	92	1	0.12	0.733	158	0.994	0.076	0.833	124	0.992	0.113	0.767
chr11	4702032	A	-	m6A	34	1	0.118	0.6	36	1	0.083	0.667	54	1	0.037	0.733	110	1	0.064	0.7	57	1	0.035	0.733	55	1	0.018	0.867	119	1	0.025	0.667	108	1	0.009	0.6
chr11	53261622	A	-	m6A	40	0.95	0.125	0.767	58	0.948	0.207	0.8	57	0.982	0.123	0.733	117	0.966	0.094	0.867	45	1	0.111	0.667	71	0.915	0.056	0.817	111	0.937	0.054	0.65	122	0.959	0.033	0.8
chr11	53428958	A	-	m6A	30	1	0.333	0.683	42	1	0.429	0.833	47	1	0.277	0.867	89	1	0.303	0.9	55	1	0.218	0.933	65	1	0.138	0.9	106	0.991	0.16	0.833	105	1	0.124	0.8
chr11	55499942	A	+	m6A	28	0.964	0.071	0.533	46	1	0.065	0.6	50	1	0.02	0.567	124	0.992	0.056	0.633	50	1	0	NA	70	0.957	0.014	0.6	121	0.983	0	NA	120	1	0	NA
chr11	55499947	A	+	m6A	28	1	0.179	0.7	47	1	0.255	0.833	50	1	0.2	0.75	124	1	0.153	0.867	49	1	0.184	0.867	68	1	0.191	0.8	125	0.992	0.128	0.833	122	1	0.131	0.717
chr11	55500257	A	+	m6A	26	1	0.346	0.8	42	0.976	0.238	0.767	40	1	0.275	0.8	104	0.981	0.346	0.7	43	1	0.209	0.9	59	1	0.271	0.8	110	1	0.091	0.767	108	1	0.083	0.733
chr11	55500366	A	+	m6A	28	1	0.107	0.7	43	0.977	0.116	0.6	47	1	0.043	0.667	112	0.991	0.062	0.767	44	0.932	0.068	0.833	61	1	0.033	0.75	112	0.991	0	NA	107	0.972	0.019	0.65
chr11	59212573	A	-	m6A	30	0.967	0.167	0.667	30	0.967	0.167	0.867	36	1	0	NA	116	1	0.121	0.733	48	0.979	0.042	0.7	84	0.976	0.107	0.667	114	0.991	0.07	0.633	151	0.987	0.04	0.683
chr11	69917256	A	-	m6A	146	0.993	0.103	0.833	181	0.994	0.05	0.7	212	1	0.047	0.85	480	1	0.06	0.767	203	1	0.025	0.8	314	1	0.038	0.683	475	0.998	0.021	0.767	462	0.996	0.028	0.767
chr11	70977874	A	-	m6A	38	0.974	0.105	0.967	29	1	0.103	0.933	63	0.968	0.111	0.933	131	0.985	0.107	0.817	65	1	0.062	0.833	88	1	0.011	0.9	142	1	0.042	0.733	144	1	0.042	0.783
chr11	70978085	A	-	m6A	38	0.947	0.447	0.867	29	0.897	0.552	0.867	64	0.969	0.484	0.833	136	0.985	0.507	0.867	70	0.986	0.3	0.9	99	0.97	0.232	0.833	142	1	0.197	0.883	156	0.994	0.199	0.8
chr11	75764960	A	+	m6A	53	0.962	0.17	0.9	92	0.967	0.141	0.833	150	0.953	0.167	0.867	236	0.983	0.14	0.9	128	0.984	0.055	0.667	136	0.985	0.051	0.767	214	0.977	0.056	0.8	235	0.97	0.055	0.767
chr11	98993154	A	-	m6A	35	1	0.486	0.833	32	1	0.469	0.8	36	1	0.5	0.933	91	1	0.538	0.867	32	1	0.219	0.767	44	0.977	0.182	0.883	73	0.986	0.151	0.8	83	0.988	0.169	0.9
chr11	107494689	A	+	m6A	25	1	0.08	0.833	27	0.963	0.074	0.667	29	1	0.034	0.867	55	0.982	0.036	0.767	25	1	0	NA	52	1	0	NA	68	0.985	0.015	0.8	68	1	0.015	0.733
chr11	116850445	A	-	m6A	35	1	0.057	0.8	45	0.978	0.089	0.833	50	1	0.06	0.867	93	1	0.118	0.833	29	1	0.034	0.733	54	0.981	0	NA	99	0.99	0.01	0.933	97	0.99	0.031	0.633
chr11	120488458	A	+	m6A	25	0.96	0.16	0.617	29	1	0.31	0.733	43	1	0.302	0.7	75	1	0.24	0.733	35	0.971	0.229	0.7	64	0.969	0.172	0.667	96	0.99	0.104	0.9	81	1	0.123	0.817
chr11	120488574	A	+	m6A	27	0.963	0.222	0.783	35	0.943	0.286	0.683	47	1	0.213	0.783	78	0.974	0.154	0.883	40	0.925	0.075	0.833	66	0.97	0.03	0.7	101	0.99	0.059	0.767	90	0.967	0.067	0.883
chr11	120560395	A	-	m6A	44	1	0.182	0.667	40	0.975	0.05	0.767	82	0.988	0.195	0.9	125	0.976	0.168	0.867	47	1	0.085	0.917	91	0.978	0.066	0.733	100	1	0.04	0.817	117	0.983	0.051	0.867
chr11	120579235	A	-	m6A	31	1	0.129	0.867	44	1	0.068	0.767	60	0.983	0.017	0.533	111	1	0.072	0.683	46	1	0.109	0.733	89	1	0.045	0.7	83	1	0.012	0.533	95	0.989	0.011	0.9
chr12	78885243	A	+	m6A	25	1	0.12	0.833	31	1	0.097	0.867	30	1	0.067	0.7	68	1	0.088	0.8	39	1	0	NA	34	1	0.088	0.867	89	1	0.022	0.617	74	0.986	0.027	0.8
chr13	3565485	A	+	m6A	30	0.967	0.067	0.75	32	1	0.094	0.667	47	0.979	0.021	0.8	88	1	0.136	0.783	35	0.971	0.029	0.9	65	0.985	0.046	0.633	101	1	0.02	0.583	105	0.981	0.057	0.567
chr15	98950356	A	-	m6A	46	0.935	0.152	0.7	52	0.885	0.173	0.733	103	0.903	0.107	0.767	175	0.846	0.126	0.783	79	0.835	0.051	0.75	93	0.839	0.054	0.733	162	0.889	0.056	0.733	207	0.923	0.024	0.7
chr15	98951319	A	-	m6A	46	0.978	0.065	0.833	59	0.881	0.051	0.867	106	0.943	0.038	0.917	162	0.926	0.049	0.8	72	0.903	0.056	0.733	92	0.902	0.011	0.767	149	0.96	0.034	0.7	182	0.929	0.033	0.683
chr15	103244417	A	+	m6A	25	1	0.12	0.6	32	1	0.125	0.767	37	1	0.216	0.733	57	1	0.193	0.833	37	1	0.027	0.7	30	1	0	NA	74	1	0.041	0.767	79	0.987	0.101	0.8
chr16	11193141	A	-	m6A	32	1	0.094	1	41	0.976	0.171	0.767	37	1	0.108	0.883	88	0.989	0.136	0.767	43	0.977	0.07	0.667	47	0.936	0.064	0.8	80	1	0.013	0.933	68	1	0.015	0.733
chr16	11193218	A	-	m6A	31	1	0.194	0.7	37	1	0.378	0.85	34	1	0.471	0.733	80	0.988	0.412	0.867	42	1	0.19	0.783	47	0.979	0.106	0.767	81	0.988	0.136	0.833	64	0.984	0.109	0.833
chr16	11193457	A	-	m6A	27	0.963	0.074	0.733	36	0.972	0.083	0.6	36	0.972	0.083	0.8	83	0.94	0.06	0.667	38	0.974	0.079	0.967	43	0.977	0	NA	78	0.974	0.026	0.9	63	0.968	0.048	0.733
chr16	11193644	A	-	m6A	25	1	0.12	0.833	39	1	0.205	0.817	34	1	0.147	0.933	76	1	0.184	0.917	37	1	0.027	0.767	44	1	0.045	0.833	73	0.986	0	NA	65	1	0.046	0.8
chr16	23113255	A	+	m6A	32	1	0.125	0.7	48	0.979	0.208	0.917	51	1	0.098	0.933	126	1	0.079	0.733	45	1	0.067	0.767	55	1	0.018	0.733	81	1	0.012	0.533	113	0.991	0.062	0.767
chr17	15476024	A	-	m6A	40	1	0.225	0.8	45	0.978	0.067	0.6	67	1	0.03	0.833	108	0.963	0.046	0.667	35	0.971	0	NA	88	0.955	0	NA	114	0.947	0.009	0.867	116	0.974	0.017	0.55
chr17	35506327	A	+	m6A	62	0.984	0.161	0.767	61	0.967	0.115	0.733	70	1	0.043	0.767	152	0.974	0.072	0.833	72	0.972	0.014	0.767	90	0.967	0.078	0.667	152	1	0.02	0.6	169	0.982	0.024	0.733
chr19	15905747	A	-	m6A	29	0.966	0.138	0.7	32	0.969	0.219	0.7	39	0.923	0.128	0.733	58	0.966	0.293	0.7	34	0.971	0.088	0.9	38	0.974	0.158	0.767	67	0.985	0.119	0.733	67	0.97	0.075	0.667
chr19	44306709	A	+	m6A	33	1	0.061	0.8	33	0.97	0.121	0.783	48	1	0.062	0.833	84	1	0.012	0.833	35	1	0.029	0.633	58	1	0.052	0.9	86	1	0.035	0.933	88	1	0.034	0.833
