chr	pos	ref_base	strand	mod	6dKO-1_depth	6dKO-1_basecall_accuracy	6dKO-1_mod_freq	6dKO-1_mod_prob	6dKO-2_depth	6dKO-2_basecall_accuracy	6dKO-2_mod_freq	6dKO-2_mod_prob	6dWT-1_depth	6dWT-1_basecall_accuracy	6dWT-1_mod_freq	6dWT-1_mod_prob	6dWT-2_depth	6dWT-2_basecall_accuracy	6dWT-2_mod_freq	6dWT-2_mod_prob
chr9	59679090	G	+	m6A	271	0.048	0.052	0.833	131	0.038	0.053	0.833	80	0.05	0.138	0.9	239	0.054	0.13	0.8
chr9	78478633	A	-	m6A	1795	0.971	0.061	0.7	941	0.973	0.054	0.667	666	0.977	0.089	0.667	1517	0.978	0.102	0.667
chr9	110939828	A	-	m6A	87	0.989	0.08	0.7	51	1	0.137	0.667	25	1	0.08	0.8	94	0.968	0.106	0.667
chr9	110939884	A	-	m6A	84	0.988	0.155	0.7	49	1	0.163	0.7	26	1	0.077	0.667	94	0.968	0.117	0.733
chr10	79688311	A	+	m6A	52	1	0.115	0.8	31	1	0.129	0.733	25	0.96	0.12	0.8	49	1	0.306	0.767
chr10	81182139	A	+	m6A	242	0.938	0.136	0.867	96	0.927	0.125	0.833	81	0.951	0.111	0.933	217	0.963	0.221	0.817
chr10	81182260	A	+	m6A	224	0.982	0.219	0.9	87	0.954	0.322	0.917	79	0.962	0.253	0.9	198	0.97	0.434	0.867
chr10	91116944	A	-	m6A	155	0.981	0.097	0.733	67	0.985	0.179	0.617	52	1	0.077	0.783	114	0.974	0.167	0.833
chr10	128548187	A	-	m6A	66	0.939	0.091	0.783	36	0.972	0.083	0.8	37	0.973	0.081	0.7	52	0.923	0.173	0.933
chr10	128548315	A	-	m6A	68	1	0.044	0.9	36	1	0.083	0.7	36	1	0.111	0.95	54	1	0.056	0.8
chr11	5704532	A	-	m6A	107	0.991	0.159	0.867	50	1	0.16	0.733	32	0.969	0.125	0.783	69	1	0.188	0.833
chr11	53428958	A	-	m6A	90	0.989	0.2	0.783	46	1	0.174	0.75	42	1	0.214	0.867	75	0.973	0.28	0.933
chr11	55499942	A	+	m6A	84	0.988	0.012	0.867	42	0.976	0.024	0.567	26	1	0.077	0.733	78	1	0.064	0.6
chr11	55499947	A	+	m6A	85	1	0.129	0.8	43	1	0.093	0.75	26	1	0.192	0.8	81	1	0.185	0.867
chr11	55500257	A	+	m6A	85	1	0.165	0.767	35	1	0.114	0.85	27	1	0.259	0.7	74	1	0.23	0.767
chr11	70977874	A	-	m6A	125	0.984	0.032	0.9	53	0.981	0.113	0.9	53	1	0.094	0.633	111	1	0.108	0.767
chr11	70978085	A	-	m6A	133	0.985	0.233	0.9	57	0.965	0.246	0.767	60	0.967	0.25	0.9	120	0.95	0.358	0.867
chr11	75764960	A	+	m6A	147	0.959	0.109	0.783	62	0.952	0.161	0.833	51	0.961	0.157	0.7	116	0.983	0.25	0.867
chr11	93949827	A	-	m6A	218	0.991	0.032	0.733	90	1	0.033	0.767	78	0.987	0.077	0.6	167	1	0.06	0.667
chr11	100321835	A	+	m6A	52	1	0.038	0.95	32	1	0.031	0.7	30	1	0.067	0.917	50	1	0.12	0.883
chr11	116850445	A	-	m6A	70	0.986	0.014	0.733	48	1	0.021	0.7	25	1	0.08	0.75	76	1	0.079	0.733
chr11	120488458	A	+	m6A	98	1	0.071	0.767	50	1	0.12	0.817	29	1	0.138	0.783	67	0.985	0.164	0.667
chr11	120488574	A	+	m6A	103	0.971	0.097	0.8	50	0.96	0.1	0.8	31	0.968	0.226	0.867	71	0.93	0.113	0.867
chr12	69183109	A	-	m6A	82	1	0.232	0.833	47	0.979	0.191	0.9	34	1	0.176	0.65	74	1	0.338	0.833
chr14	63492801	A	-	m6A	90	1	0	NA	57	1	0.035	0.917	40	1	0.125	0.733	93	1	0.054	0.8
chr15	79094358	A	+	m6A	67	1	0.134	0.867	26	1	0.077	0.783	25	1	0.08	0.817	63	0.968	0.143	0.667
chr15	98950356	A	-	m6A	68	0.853	0.044	0.6	38	0.789	0.053	0.767	35	0.829	0.171	0.717	58	0.724	0.086	0.833
chr17	15476024	A	-	m6A	101	0.97	0.069	0.567	70	0.943	0.029	0.85	52	0.923	0.077	0.633	93	0.968	0.075	0.767
chr17	35506327	A	+	m6A	86	0.965	0.058	0.733	43	1	0.023	1	27	1	0.074	0.783	73	1	0.151	0.8
chrM	233	A	+	m6A	99	0.98	0.071	0.7	74	1	0.149	0.7	57	1	0.123	0.7	81	1	0.136	0.767
chrM	10098	A	+	m6A	61	0.951	0.131	0.617	70	0.929	0.086	0.633	33	0.97	0.061	0.617	62	0.903	0.097	0.717
