chr	pos	ref_base	strand	mod	14dKO-1_depth	14dKO-1_basecall_accuracy	14dKO-1_mod_freq	14dKO-1_mod_prob	14dKO-2_depth	14dKO-2_basecall_accuracy	14dKO-2_mod_freq	14dKO-2_mod_prob	14dWT-1_depth	14dWT-1_basecall_accuracy	14dWT-1_mod_freq	14dWT-1_mod_prob	14dWT-2_depth	14dWT-2_basecall_accuracy	14dWT-2_mod_freq	14dWT-2_mod_prob
chr4	119137126	A	+	m6A	114	0.921	0.009	0.867	124	0.944	0	NA	125	0.936	0.08	0.65	109	0.963	0.083	0.8
chr4	119137163	A	+	m6A	115	0.991	0.009	0.833	123	1	0	NA	124	1	0.056	0.7	113	0.991	0.053	0.633
chr5	30674204	A	+	m6A	54	1	0	NA	64	1	0.031	0.7	32	0.969	0.062	0.683	36	1	0.056	0.833
chr5	35093079	A	-	m6A	43	0.977	0.047	0.867	58	1	0.069	0.667	41	1	0.39	0.833	49	0.98	0.286	0.8
chr5	35093084	A	-	m6A	43	1	0.047	0.583	58	0.983	0.069	0.633	40	0.975	0.075	0.667	49	0.918	0.061	0.867
chr5	35093160	A	-	m6A	44	1	0.068	0.8	56	1	0.054	0.733	43	0.977	0.326	0.783	49	1	0.531	0.7
chr5	36795068	A	-	m6A	72	0.986	0	NA	83	0.976	0.012	0.933	73	0.973	0.164	0.8	60	1	0.117	0.767
chr5	36795335	A	-	m6A	60	1	0	NA	75	1	0.013	0.833	67	1	0.164	0.7	55	1	0.091	0.9
chr5	36795385	A	-	m6A	58	0.948	0.034	0.75	68	0.926	0.015	0.867	62	0.935	0.355	0.783	50	0.94	0.32	0.817
chr5	36796412	A	-	m6A	36	1	0	NA	31	1	0.032	0.967	39	1	0.179	0.733	31	0.968	0.452	0.767
chr5	115298622	A	-	m6A	71	0.986	0.028	0.8	108	0.981	0.019	0.65	49	0.939	0.286	0.75	57	0.947	0.474	0.733
chr5	115298649	A	-	m6A	79	1	0.051	0.867	116	0.966	0.009	0.967	53	0.981	0.472	0.867	54	1	0.5	0.9
chr5	115298687	A	-	m6A	78	0.987	0.026	0.8	114	0.991	0.035	0.583	51	0.98	0.353	0.767	55	1	0.309	0.9
chr5	129023001	A	+	m6A	97	0.969	0.021	0.75	97	1	0.01	0.6	152	0.954	0.243	0.767	110	0.964	0.218	0.733
chr5	129845928	A	+	m6A	65	0.969	0.046	0.933	73	0.986	0.027	0.6	81	0.963	0.543	0.833	82	0.976	0.512	0.833
chr5	135790186	A	+	m6A	36	1	0	NA	63	1	0.016	0.867	61	1	0.115	0.867	52	0.981	0.115	0.783
chr5	138163864	A	+	m6A	26	1	0.077	0.983	33	1	0.061	0.583	32	0.969	0.094	0.967	29	0.931	0.31	0.733
chr5	140443192	A	+	m6A	31	1	0.065	0.65	52	1	0	NA	44	1	0.205	0.633	28	1	0.143	0.617
chr5	142903533	A	-	m6A	179	0.989	0.006	0.6	180	0.994	0.022	0.717	133	1	0.105	0.85	112	0.991	0.179	0.75
chr5	142903793	A	-	m6A	94	0.979	0.043	0.783	81	0.975	0.012	0.733	77	1	0.247	0.733	59	1	0.153	0.833
chr5	147078867	A	+	m6A	41	1	0	NA	49	1	0	NA	32	1	0.312	0.767	34	1	0.441	0.767
chr6	7675232	A	-	m6A	42	1	0.024	0.8	49	0.98	0.02	0.533	47	1	0.064	0.933	47	1	0.064	0.967
chr6	39399247	A	-	m6A	41	0.976	0.049	0.55	50	1	0	NA	48	1	0.333	0.733	52	1	0.385	0.75
chr6	39399271	A	-	m6A	39	1	0	NA	49	0.918	0	NA	48	0.979	0.292	0.7	54	1	0.296	0.833
chr6	39405781	A	-	m6A	72	1	0.042	0.933	86	1	0.012	0.867	91	0.989	0.231	0.8	76	0.974	0.224	0.833
chr6	55079316	A	+	m6A	50	1	0	NA	36	1	0	NA	37	1	0.054	0.733	58	1	0.052	0.533
chr6	67284071	A	+	m6A	115	1	0.096	0.767	111	1	0.072	0.683	90	0.989	0.544	0.833	73	0.986	0.479	0.867
chr6	67284100	A	+	m6A	120	1	0.008	0.9	125	0.992	0.008	0.6	98	0.99	0.102	0.667	82	0.988	0.134	0.7
chr6	86525889	A	-	m6A	45	1	0	NA	40	1	0	NA	45	1	0.156	0.767	33	0.97	0.273	0.8
chr6	88503676	A	-	m6A	25	1	0.04	1	31	1	0	NA	28	0.964	0.25	0.733	29	0.966	0.172	0.933
chr6	99877737	A	-	m6A	64	0.984	0.031	0.85	88	0.943	0.091	0.733	43	1	0.279	0.85	60	0.967	0.167	0.65
chr6	117924107	A	+	m6A	45	0.956	0.044	0.85	37	1	0.027	1	31	0.968	0.194	0.8	28	1	0.214	0.7
chr6	122728162	A	-	m6A	112	0.991	0	NA	123	0.992	0	NA	161	0.975	0.05	0.65	142	0.972	0.085	0.75
chr6	122729848	A	-	m6A	28	1	0.036	0.9	34	1	0.088	0.767	70	0.971	0.571	0.85	56	0.982	0.5	0.883
chr6	122730034	A	-	m6A	26	0.846	0	NA	30	0.9	0	NA	53	0.887	0.075	0.617	40	0.875	0.075	1
chr6	122730044	A	-	m6A	29	0.966	0.034	0.867	29	1	0	NA	67	1	0.313	0.867	53	0.962	0.377	0.783
chr6	124716745	A	+	m6A	48	1	0.021	0.9	57	1	0.035	0.733	58	1	0.293	0.867	52	1	0.308	0.817
chr6	124811232	A	-	m6A	69	1	0	NA	90	0.989	0.022	0.75	139	0.957	0.065	0.733	112	0.991	0.098	0.767
chr6	124936010	A	+	m6A	30	1	0	NA	56	1	0	NA	46	0.978	0.087	0.717	38	1	0.079	0.7
chr6	125130256	A	+	m6A	34	0.971	0	NA	46	1	0.043	0.767	45	0.956	0.222	0.783	35	0.971	0.143	0.9
chr6	131365292	A	-	m6A	34	0.971	0.059	0.883	51	0.863	0.059	0.7	39	0.949	0.205	0.683	47	0.936	0.362	0.767
chr6	148355504	A	+	m6A	93	1	0.022	0.667	111	1	0.009	0.733	54	1	0.222	0.85	64	1	0.281	0.7
chr6	148355514	A	+	m6A	92	0.957	0	NA	106	0.991	0.009	0.533	55	1	0.145	0.717	64	0.984	0.141	0.9
chr7	16327473	A	-	m6A	31	0.968	0	NA	39	0.949	0	NA	40	0.875	0.275	0.867	28	0.964	0.179	0.767
chr7	16327594	A	-	m6A	33	0.97	0	NA	46	0.978	0.022	0.533	41	0.976	0.293	0.833	27	0.963	0.296	0.8
chr7	16327660	A	-	m6A	32	0.969	0	NA	38	1	0.053	0.8	37	1	0.162	0.8	26	0.923	0.231	0.933
chr7	34202307	A	-	m6A	62	1	0.032	0.783	87	1	0	NA	99	0.99	0.061	0.933	71	1	0.056	0.867
chr7	34202459	A	-	m6A	54	1	0	NA	77	1	0.013	0.567	96	0.99	0.062	0.833	70	0.986	0.057	0.7
chr7	45461843	A	-	m6A	78	0.949	0.103	0.817	65	0.969	0.077	0.733	61	0.934	0.492	0.933	46	0.935	0.37	0.933
chr7	79134062	A	-	m6A	43	0.953	0	NA	42	1	0.024	0.867	55	0.964	0.491	0.767	41	0.976	0.439	0.767
chr7	105809932	A	-	m6A	38	1	0.026	0.533	54	1	0.019	0.533	38	0.947	0.158	0.867	28	1	0.25	0.867
chr7	139944977	A	+	m6A	55	0.964	0.018	0.8	79	0.975	0.025	0.683	82	0.951	0.305	0.867	71	0.915	0.225	0.75
chr8	27275374	A	+	m6A	105	1	0.019	0.7	125	1	0.008	0.833	73	1	0.219	0.683	53	1	0.113	0.867
chr8	43295350	A	-	m6A	45	1	0.022	0.567	57	1	0	NA	44	1	0.205	0.667	33	1	0.242	0.867
chr8	46209216	A	-	m6A	35	1	0	NA	70	1	0.029	0.883	58	1	0.328	0.8	46	1	0.326	0.767
chr8	75127502	A	+	m6A	35	1	0.029	0.767	25	1	0	NA	40	1	0.225	0.767	25	1	0.24	0.8
chr8	84842187	A	-	m6A	87	1	0	NA	119	0.975	0.008	0.7	115	0.983	0.104	0.8	106	0.991	0.066	0.867
chr8	84842618	A	-	m6A	78	0.987	0.038	0.8	91	0.978	0.011	0.567	108	1	0.259	0.767	89	0.989	0.236	0.833
chr9	36732792	A	-	m6A	35	0.971	0.029	0.533	28	1	0	NA	26	0.923	0.269	0.867	32	1	0.062	0.7
chr9	44335617	A	+	m6A	40	1	0.025	0.7	40	1	0	NA	36	1	0.167	0.7	49	0.98	0.204	0.633
chr9	44335812	A	+	m6A	50	1	0	NA	52	0.981	0	NA	40	0.95	0.075	0.8	54	0.981	0.056	0.633
chr9	44335814	A	+	m6A	42	1	0.048	0.733	33	0.97	0	NA	29	0.966	0.069	0.8	41	1	0.195	0.733
chr9	44335832	A	+	m6A	50	1	0.02	0.667	53	0.981	0.019	0.867	40	1	0.3	0.833	54	0.963	0.13	0.8
chr9	44335958	A	+	m6A	49	1	0.082	0.8	54	1	0.056	0.733	39	0.974	0.462	0.7	45	0.933	0.378	0.767
chr9	59679045	A	+	m6A	222	0.995	0	NA	272	0.993	0.011	0.867	390	0.992	0.077	0.8	349	0.989	0.057	0.867
chr9	59679090	G	+	m6A	227	0.062	0.026	0.967	275	0.058	0.025	0.633	393	0.028	0.16	0.833	351	0.051	0.114	0.767
chr9	78478633	A	-	m6A	1891	0.973	0.007	0.75	2214	0.972	0.008	0.7	2149	0.979	0.129	0.667	1787	0.98	0.132	0.667
chr9	106889052	A	-	m6A	28	1	0.071	0.85	37	1	0.081	0.667	27	1	0.333	0.667	25	1	0.28	0.7
chr9	110939828	A	-	m6A	43	1	0.07	0.567	60	0.983	0.017	0.733	145	0.986	0.166	0.683	149	0.987	0.188	0.7
chr9	110939884	A	-	m6A	44	0.977	0.023	0.667	55	0.964	0.018	0.667	140	0.993	0.179	0.7	146	0.993	0.171	0.7
chr9	120959594	A	+	m6A	30	0.967	0	NA	36	1	0	NA	33	1	0.091	0.633	27	1	0.111	0.533
chr10	13009013	A	+	m6A	39	1	0	NA	57	1	0.018	0.7	38	1	0.421	0.9	36	1	0.472	0.933
chr10	59371211	A	+	m6A	25	1	0	NA	30	1	0.067	0.883	27	1	0.185	0.967	43	0.93	0.163	0.7
chr10	59371736	A	+	m6A	36	1	0.028	0.667	50	1	0.06	0.9	42	1	0.238	0.833	53	1	0.245	0.6
chr10	69338387	A	-	m6A	35	0.971	0.057	0.8	36	0.944	0	NA	42	1	0.214	0.7	37	1	0.135	0.733
chr10	77988177	A	-	m6A	29	0.966	0.034	0.733	49	1	0	NA	58	1	0.103	0.717	50	0.98	0.1	0.833
chr10	79688311	A	+	m6A	62	1	0	NA	61	1	0	NA	36	1	0.417	0.9	33	1	0.364	0.867
chr10	80035984	A	-	m6A	39	1	0	NA	53	1	0	NA	53	1	0.151	0.883	56	1	0.304	0.667
chr10	81182139	A	+	m6A	447	0.957	0.011	0.8	552	0.947	0.016	0.867	451	0.938	0.306	0.8	373	0.925	0.3	0.833
chr10	81182260	A	+	m6A	439	0.977	0.03	0.9	553	0.989	0.034	0.867	416	0.978	0.575	0.867	349	0.966	0.55	0.883
chr10	86691033	A	-	m6A	56	0.893	0	NA	74	0.919	0	NA	74	0.892	0.095	0.667	55	0.945	0.055	0.6
chr10	91116944	A	-	m6A	102	0.99	0.039	0.65	113	0.991	0.035	0.65	96	0.979	0.25	0.717	83	0.988	0.289	0.8
chr10	128548187	A	-	m6A	59	0.966	0.017	0.633	99	0.939	0.01	0.733	68	1	0.191	0.8	57	0.912	0.175	0.9
chr10	128548315	A	-	m6A	53	1	0	NA	100	0.99	0.02	0.833	70	1	0.143	0.833	54	0.963	0.13	0.8
chr10	128558910	A	-	m6A	36	1	0	NA	54	0.981	0	NA	66	0.985	0.061	0.6	59	1	0.068	0.65
chr11	5704532	A	-	m6A	67	0.97	0.015	0.567	81	1	0.025	0.833	49	1	0.306	0.867	53	0.981	0.245	0.8
chr11	20062918	A	-	m6A	35	1	0	NA	36	1	0.056	0.883	55	1	0.2	0.833	40	1	0.075	0.867
chr11	20062931	A	-	m6A	34	0.941	0	NA	29	0.931	0	NA	51	0.98	0.078	0.983	37	0.946	0.081	0.7
chr11	23003256	A	+	m6A	141	0.957	0.021	0.867	158	0.962	0.006	0.567	168	0.958	0.077	0.733	151	0.94	0.053	0.783
chr11	29742759	A	+	m6A	31	1	0	NA	50	1	0.02	0.833	33	1	0.121	0.767	32	1	0.125	0.633
chr11	51623221	A	+	m6A	93	0.989	0	NA	126	0.952	0.008	0.567	120	0.992	0.1	0.65	86	0.977	0.081	0.633
chr11	52122256	A	+	m6A	63	0.984	0.048	0.7	40	0.95	0	NA	37	0.973	0.378	0.733	41	0.951	0.463	0.767
chr11	53261622	A	-	m6A	77	0.935	0.065	0.833	73	0.945	0.068	0.733	76	0.974	0.184	0.75	65	0.985	0.169	0.667
chr11	53428958	A	-	m6A	61	1	0.066	0.917	74	1	0.014	0.533	79	1	0.354	0.85	70	1	0.357	0.833
chr11	55499942	A	+	m6A	59	1	0	NA	84	1	0.012	0.567	59	1	0.068	0.617	73	1	0.055	0.633
chr11	55499947	A	+	m6A	61	1	0	NA	84	1	0.012	0.767	59	0.966	0.254	0.667	72	1	0.333	0.733
chr11	55500257	A	+	m6A	64	1	0.047	0.9	76	1	0.039	0.7	46	1	0.391	0.75	57	1	0.509	0.767
chr11	55500366	A	+	m6A	68	0.985	0.015	0.633	80	0.975	0	NA	50	1	0.06	0.6	59	1	0.102	0.783
chr11	55500728	A	+	m6A	33	1	0	NA	40	1	0.025	0.7	34	0.971	0.147	0.7	30	1	0.267	0.617
chr11	59183944	A	-	m6A	42	1	0	NA	51	1	0.02	0.7	27	1	0.074	0.75	26	1	0.115	0.867
chr11	59184071	A	-	m6A	42	1	0.024	0.767	52	1	0	NA	31	0.968	0.226	0.9	27	1	0.185	0.8
chr11	59212573	A	-	m6A	35	1	0.029	0.8	58	0.966	0.017	0.533	64	0.953	0.203	0.733	58	0.966	0.155	0.767
chr11	70235351	A	-	m6A	27	1	0	NA	50	1	0.04	0.783	36	1	0.167	0.667	30	1	0.067	0.8
chr11	70977874	A	-	m6A	115	1	0.035	0.783	141	1	0	NA	114	0.991	0.079	0.8	95	1	0.084	0.733
chr11	70978085	A	-	m6A	119	0.966	0.025	0.8	154	0.974	0.039	0.817	119	0.95	0.555	0.867	95	0.947	0.568	0.867
chr11	72209503	A	+	m6A	35	1	0.029	0.633	30	1	0.1	0.6	31	1	0.387	0.783	35	1	0.257	0.8
chr11	72451505	A	+	m6A	69	0.986	0.014	0.8	70	1	0.014	0.533	57	0.982	0.316	0.933	34	1	0.441	0.733
chr11	73176403	A	-	m6A	37	0.973	0	NA	55	0.945	0.018	0.933	29	0.931	0.345	0.767	39	0.974	0.41	0.683
chr11	75764960	A	+	m6A	95	0.979	0.021	0.767	112	1	0.009	0.833	150	0.953	0.287	0.833	127	0.976	0.268	0.75
chr11	78541970	A	-	m6A	25	1	0	NA	38	1	0.053	0.85	26	1	0.423	0.8	36	1	0.389	0.75
chr11	86694665	A	-	m6A	59	0.949	0.068	0.583	48	0.979	0.062	0.633	57	1	0.105	0.85	59	0.966	0.119	0.9
chr11	86695118	A	-	m6A	53	1	0.019	0.6	38	0.947	0	NA	52	0.962	0.058	0.767	52	1	0.058	0.9
chr11	88924526	A	-	m6A	38	0.974	0.026	0.767	39	1	0.051	0.75	45	0.978	0.111	0.767	40	0.975	0.125	0.7
chr11	94643610	A	+	m6A	25	0.92	0	NA	30	1	0	NA	41	0.951	0.244	0.833	34	0.971	0.294	0.883
chr11	98993154	A	-	m6A	103	0.99	0.097	0.717	95	1	0.042	0.667	101	0.98	0.634	0.883	88	1	0.545	0.85
chr11	102838546	A	-	m6A	29	1	0	NA	33	0.97	0	NA	38	0.895	0.105	0.633	27	0.963	0.111	0.667
chr11	107497786	A	+	m6A	29	1	0	NA	44	1	0.023	0.533	27	1	0.074	0.683	29	1	0.172	0.7
chr11	116438783	A	+	m6A	28	1	0	NA	37	1	0	NA	51	0.961	0.255	0.8	36	1	0.25	0.833
chr11	116438881	A	+	m6A	30	1	0.033	0.6	40	1	0	NA	55	1	0.073	0.633	38	1	0.053	0.683
chr11	117855336	A	+	m6A	51	1	0	NA	69	0.971	0.029	0.7	38	1	0.079	0.9	26	1	0.192	0.767
chr11	117855513	A	+	m6A	58	0.983	0.034	0.583	79	0.911	0.013	0.8	37	0.946	0.297	0.733	28	0.964	0.357	0.85
chr11	119288476	A	-	m6A	31	1	0	NA	41	1	0.024	0.867	26	1	0.115	0.767	31	0.968	0.129	0.767
chr11	120488450	A	+	m6A	53	1	0	NA	51	1	0.02	0.567	35	1	0.086	0.833	42	0.952	0.095	0.733
chr11	120488458	A	+	m6A	54	1	0.037	0.75	50	1	0.02	0.767	36	1	0.167	0.617	39	1	0.282	0.7
chr11	120488574	A	+	m6A	57	0.982	0.018	0.733	53	1	0.038	0.817	39	0.872	0.231	0.867	44	0.932	0.273	0.783
chr11	120560395	A	-	m6A	132	0.97	0.023	0.733	174	0.989	0.023	0.95	204	0.985	0.211	0.867	181	1	0.16	0.767
chr11	120562446	A	-	m6A	61	0.984	0	NA	78	1	0	NA	123	1	0.073	0.8	110	0.991	0.064	0.7
chr11	120958050	A	+	m6A	27	1	0	NA	32	0.969	0	NA	33	0.97	0.152	0.8	25	0.96	0.28	0.6
chr11	120958176	A	+	m6A	27	0.926	0	NA	39	0.974	0.026	0.567	46	0.978	0.696	0.85	35	1	0.571	0.8
chr12	8938340	A	+	m6A	25	1	0.04	0.533	52	1	0.019	0.7	55	1	0.055	0.867	46	0.978	0.196	0.733
chr12	69183109	A	-	m6A	57	1	0	NA	60	1	0.017	0.6	58	0.983	0.397	0.867	62	0.984	0.435	0.833
chr12	78885243	A	+	m6A	26	1	0.038	0.9	51	1	0	NA	41	0.976	0.073	0.9	41	1	0.073	0.933
chr12	100206689	A	+	m6A	29	1	0	NA	33	1	0	NA	27	1	0.074	0.667	27	1	0.111	0.8
chr12	100207140	A	+	m6A	37	0.973	0	NA	41	1	0.024	0.9	32	0.969	0.062	0.7	31	0.968	0.129	0.85
chr13	3565485	A	+	m6A	49	1	0.02	0.633	77	1	0.013	0.6	65	1	0.123	0.733	76	1	0.184	0.767
chr13	30540722	A	-	m6A	30	1	0	NA	39	1	0	NA	35	0.943	0.429	0.733	36	0.972	0.417	0.667
chr13	58127036	A	-	m6A	62	0.968	0	NA	87	0.977	0.011	0.567	47	0.957	0.191	0.733	41	1	0.171	0.7
chr13	58127186	A	-	m6A	48	0.938	0	NA	83	0.928	0.036	0.9	45	0.889	0.311	0.717	36	0.889	0.417	0.833
chr13	58127211	A	-	m6A	53	0.981	0.038	0.667	82	1	0	NA	44	1	0.477	0.733	40	1	0.45	0.783
chr13	58127256	A	-	m6A	50	1	0.06	0.633	82	0.988	0.037	0.967	46	0.978	0.457	0.8	38	1	0.553	0.767
chr13	64364079	A	-	m6A	86	0.988	0.012	0.667	71	1	0	NA	125	0.968	0.096	0.7	99	0.98	0.081	0.633
chr13	69634124	A	+	m6A	25	0.96	0.04	0.933	32	1	0.031	0.967	35	0.971	0.229	0.917	28	1	0.321	0.867
chr14	19811334	A	+	m6A	42	0.976	0	NA	47	1	0	NA	50	1	0.08	0.783	34	1	0.088	0.733
chr14	34343834	A	+	m6A	61	0.984	0.016	0.867	53	1	0	NA	40	0.975	0.1	0.717	41	0.976	0.098	0.9
chr14	34344445	A	+	m6A	59	0.983	0	NA	50	1	0.04	0.733	43	1	0.14	0.717	46	1	0.13	0.6
chr14	63142685	A	+	m6A	30	0.967	0	NA	50	0.98	0.02	1	35	1	0.343	0.833	25	1	0.28	0.933
chr14	120946967	A	+	m6A	27	1	0.037	0.867	39	1	0.026	0.6	26	0.962	0.269	0.9	27	0.926	0.222	0.85
chr14	120947163	A	+	m6A	33	1	0	NA	43	1	0.023	0.767	29	1	0.069	0.8	32	1	0.156	0.6
chr15	51786691	A	-	m6A	67	0.985	0	NA	70	1	0	NA	61	1	0.066	0.783	48	0.979	0.125	0.717
chr15	79094358	A	+	m6A	36	0.972	0	NA	45	1	0.022	0.833	52	1	0.096	0.967	46	0.978	0.174	0.817
chr15	81951140	A	-	m6A	32	1	0.062	0.633	57	1	0	NA	43	1	0.233	0.8	35	1	0.257	0.967
chr15	81951465	A	-	m6A	29	0.931	0.069	0.917	49	0.939	0	NA	40	0.975	0.05	0.683	32	0.906	0.156	0.933
chr15	103244417	A	+	m6A	56	1	0	NA	75	1	0.013	0.833	69	1	0.232	0.817	57	1	0.298	0.867
chr16	11193141	A	-	m6A	41	1	0	NA	46	0.978	0.043	0.8	64	1	0.203	0.8	37	1	0.216	0.7
chr16	11193218	A	-	m6A	40	1	0.1	0.617	46	1	0.065	0.667	63	0.968	0.381	0.767	38	1	0.342	0.733
chr16	11193644	A	-	m6A	31	1	0	NA	39	1	0	NA	50	0.98	0.2	0.883	26	1	0.231	0.683
chr16	20692497	A	+	m6A	45	0.978	0.022	0.567	60	1	0.05	0.7	45	0.978	0.311	0.883	27	0.963	0.519	0.667
chr16	20692766	A	+	m6A	41	0.976	0.024	0.633	63	0.984	0	NA	45	1	0.111	0.8	28	1	0.179	0.833
chr16	23113255	A	+	m6A	114	0.991	0.018	0.65	123	1	0	NA	146	0.993	0.137	0.783	113	0.991	0.097	0.733
chr16	23113512	A	+	m6A	137	0.993	0.015	0.783	153	1	0	NA	158	0.975	0.082	0.667	116	0.991	0.078	0.733
chr16	23113634	A	+	m6A	140	0.993	0.007	0.533	149	0.993	0.013	0.867	149	0.987	0.081	0.6	119	0.983	0.101	0.733
chr16	36043931	A	-	m6A	34	0.971	0.029	0.933	31	1	0.032	0.867	52	1	0.077	0.9	51	0.961	0.118	0.85
chr16	91925274	A	-	m6A	54	0.963	0	NA	59	0.949	0	NA	55	0.927	0.091	0.7	65	1	0.092	0.75
chr17	35058570	A	+	m6A	31	1	0	NA	39	1	0	NA	28	0.964	0.143	0.55	34	0.971	0.118	0.7
chr17	35506315	A	+	m6A	43	0.93	0	NA	69	0.957	0	NA	96	0.958	0.073	0.8	84	0.964	0.06	0.8
chr17	35506327	A	+	m6A	43	0.977	0.023	0.867	68	0.971	0.015	0.8	93	0.978	0.183	0.833	83	0.976	0.12	0.783
chr17	87433656	A	-	m6A	64	0.984	0	NA	64	1	0	NA	62	1	0.113	0.767	51	1	0.078	0.867
