chr	pos	ref_base	strand	mod	WT2_depth	WT2_basecall_accuracy	WT2_mod_freq	WT2_mod_prob	KOM3_depth	KOM3_basecall_accuracy	KOM3_mod_freq	KOM3_mod_prob	WT1_depth	WT1_basecall_accuracy	WT1_mod_freq	WT1_mod_prob	KOM14_depth	KOM14_basecall_accuracy	KOM14_mod_freq	KOM14_mod_prob
chr1	93408093	A	-	m6A	355	0.949	0.149	0.9	141	0.936	0.05	0.8	115	0.974	0.139	0.967	193	0.953	0.057	0.767
chr1	93787926	A	+	m6A	97	0.876	0.093	0.667	57	0.93	0	NA	55	0.891	0.164	0.767	60	0.867	0.017	0.833
chr1	93787933	A	+	m6A	101	0.98	0.366	0.733	55	1	0.145	0.717	59	0.983	0.305	0.867	62	0.984	0.226	0.75
chr1	93787969	A	+	m6A	115	0.991	0.113	0.767	65	1	0.092	0.667	73	1	0.068	0.7	68	1	0.074	0.7
chr1	93792790	A	-	m6A	320	0.969	0.263	0.7	150	0.987	0.067	0.85	103	0.981	0.252	0.733	193	0.99	0.083	0.7
chr1	93794791	A	-	m6A	249	1	0.076	0.733	73	0.986	0.027	0.883	68	1	0.074	0.9	128	1	0.016	0.7
chr1	95499182	A	+	m6A	810	0.999	0.06	0.767	398	0.992	0.023	0.633	502	1	0.06	0.767	455	0.998	0.022	0.833
chr1	118298710	A	-	m6A	178	1	0.084	0.867	81	1	0.012	0.967	86	1	0.128	0.933	99	0.99	0.02	0.75
chr1	118333037	A	+	m6A	136	0.971	0.265	0.733	47	1	0.043	0.6	31	0.935	0.323	0.733	56	0.982	0.268	0.633
chr1	118333439	A	+	m6A	302	1	0.07	0.767	155	1	0	NA	76	0.987	0.053	0.933	127	0.992	0.024	0.733
chr1	121553974	A	-	m6A	100	1	0.41	0.833	41	0.976	0.049	0.883	34	1	0.353	0.75	62	0.984	0.161	0.883
chr1	125393362	A	-	m6A	228	0.982	0.118	0.767	53	0.981	0	NA	66	0.985	0.106	0.7	92	1	0.054	0.667
chr1	125393533	A	-	m6A	200	0.965	0.125	0.7	44	1	0.023	0.533	50	0.94	0.28	0.767	76	1	0.053	0.783
chr1	128331782	A	-	m6A	1160	0.982	0.05	0.767	545	0.993	0.013	0.767	524	0.992	0.076	0.75	672	0.99	0.027	0.717
chr1	131128561	A	-	m6A	114	1	0.184	0.667	39	1	0.026	0.733	35	1	0.257	0.733	88	1	0.159	0.733
chr1	131128659	A	-	m6A	114	1	0.596	0.767	37	1	0.568	0.8	39	0.974	0.692	0.8	88	0.966	0.568	0.817
chr1	131128670	A	-	m6A	110	0.8	0.218	0.7	37	0.784	0.027	0.833	36	1	0.111	0.933	86	0.802	0.058	0.633
chr1	131173375	A	+	m6A	397	1	0.065	0.7	155	1	0	NA	109	1	0.055	0.733	161	1	0.025	0.833
chr1	131286563	A	-	m6A	75	1	0.173	0.867	32	1	0	NA	37	0.973	0.054	0.717	48	1	0.062	0.8
chr1	131286720	A	-	m6A	71	0.972	0.62	0.9	32	1	0.344	0.867	38	0.974	0.684	0.833	48	0.958	0.583	0.883
chr1	131936082	A	+	m6A	333	0.997	0.165	0.9	146	1	0.062	0.8	150	0.993	0.187	0.9	203	0.99	0.054	0.867
chr1	134411430	A	+	m6A	138	0.986	0.072	0.733	53	1	0	NA	55	1	0.091	0.633	96	0.99	0.031	0.833
chr1	134490861	A	+	m6A	105	1	0.105	0.867	40	1	0.05	0.733	45	0.978	0.133	0.633	61	0.967	0.049	0.733
chr1	134631409	A	+	m6A	104	0.99	0.471	0.833	37	1	0.243	0.833	32	1	0.594	0.9	66	1	0.318	0.833
chr1	134631452	A	+	m6A	117	0.991	0.231	0.833	40	1	0.1	0.8	37	0.973	0.297	0.767	76	1	0.158	0.817
chr1	134632038	A	+	m6A	138	0.986	0.232	0.767	80	1	0.025	0.733	51	1	0.333	0.767	80	1	0.113	0.767
chr1	135253876	A	-	m6A	347	0.983	0.542	0.833	217	0.995	0.318	0.8	232	0.983	0.543	0.833	324	0.997	0.42	0.833
chr1	135253922	A	-	m6A	263	0.981	0.095	0.667	175	0.966	0.051	0.7	144	0.993	0.111	0.7	258	0.973	0.05	0.767
chr1	135253935	A	-	m6A	314	0.994	0.318	0.8	198	0.97	0.051	0.667	196	0.974	0.393	0.8	295	0.976	0.146	0.8
chr1	135253990	A	-	m6A	277	0.971	0.531	0.867	151	0.98	0.464	0.8	167	0.976	0.641	0.867	245	0.988	0.531	0.833
chr1	135301551	A	-	m6A	158	1	0.095	0.733	79	0.987	0	NA	37	1	0.081	0.9	108	1	0.037	0.783
chr1	135301765	A	-	m6A	367	0.992	0.395	0.8	206	1	0.136	0.817	90	1	0.578	0.8	233	0.996	0.24	0.817
chr1	135301795	A	-	m6A	341	0.985	0.32	0.8	202	0.985	0.054	0.833	87	0.989	0.31	0.867	225	0.978	0.133	0.8
chr1	135301884	A	-	m6A	329	0.976	0.246	0.867	188	0.995	0.037	0.7	83	0.988	0.277	0.933	212	0.991	0.09	0.933
chr1	135382455	A	-	m6A	114	0.965	0.07	0.767	70	0.957	0	NA	67	0.97	0.06	0.85	76	0.947	0.026	0.733
chr1	135768745	A	+	m6A	149	0.993	0.336	0.767	79	0.975	0.139	0.833	37	1	0.351	0.767	99	0.99	0.162	0.717
chr1	135768875	A	+	m6A	176	0.943	0.051	0.633	108	0.954	0.009	0.667	57	0.912	0.07	0.883	119	0.941	0.025	0.767
chr1	135768886	A	+	m6A	176	0.972	0.415	0.8	105	0.981	0.219	0.8	55	0.982	0.509	0.817	114	0.982	0.421	0.8
chr1	136034872	A	+	m6A	51	1	0.157	0.883	53	1	0	NA	31	0.968	0.161	0.9	48	1	0.062	0.633
chr1	136842762	A	-	m6A	121	0.967	0.107	0.867	76	0.987	0.039	0.7	38	0.974	0.184	0.933	59	0.966	0.085	0.767
chr1	143806776	A	+	m6A	260	0.977	0.054	0.783	152	0.993	0.02	0.8	101	1	0.129	0.8	174	0.989	0.023	0.833
chr1	152775313	A	+	m6A	244	0.992	0.119	0.733	141	0.993	0.007	0.9	108	0.991	0.102	0.767	169	0.982	0.053	0.767
chr1	153456062	A	-	m6A	308	1	0.13	0.8	124	0.992	0.024	0.567	92	1	0.13	0.767	165	1	0.024	0.817
chr1	153909617	A	+	m6A	157	1	0.07	0.667	92	1	0.022	0.533	54	1	0.074	0.717	85	1	0.024	0.55
chr1	155687140	A	+	m6A	133	0.985	0.195	0.9	70	1	0.014	0.8	58	0.983	0.207	0.9	64	1	0.078	0.733
chr1	157420025	A	+	m6A	447	0.973	0.112	0.7	248	0.98	0.052	0.8	150	0.987	0.153	0.667	254	0.969	0.059	0.667
chr1	157420128	A	+	m6A	496	0.99	0.179	0.767	277	0.993	0.025	0.7	171	1	0.187	0.717	269	1	0.059	0.75
chr1	161041662	A	-	m6A	79	1	0.089	0.633	44	1	0	NA	25	1	0.12	0.6	43	1	0	NA
chr1	164437131	A	-	m6A	184	0.984	0.071	0.667	137	1	0.022	0.567	102	1	0.069	0.833	115	0.991	0.052	0.75
chr1	165592600	A	-	m6A	59	0.983	0.356	0.8	34	1	0.324	0.8	31	0.968	0.516	0.867	58	0.931	0.31	0.883
chr1	170142029	A	-	m6A	56	0.929	0.089	0.767	32	0.969	0	NA	40	0.9	0.075	0.933	32	0.969	0.062	0.917
chr1	170193618	A	-	m6A	54	1	0.093	0.633	38	1	0.026	0.667	44	0.977	0.091	0.767	49	1	0.041	0.833
chr1	171276684	A	+	m6A	72	0.917	0.222	0.65	42	0.905	0	NA	36	0.861	0.111	0.683	46	0.935	0.043	0.567
chr1	171418152	A	+	m6A	73	0.986	0.466	0.8	32	1	0.188	0.7	28	1	0.357	0.883	45	0.978	0.111	0.933
chr1	171418221	A	+	m6A	98	0.959	0.378	0.833	41	1	0.195	0.7	36	0.944	0.222	0.733	50	0.98	0.32	0.7
chr1	171418397	A	+	m6A	143	0.972	0.182	0.683	75	0.973	0.133	0.75	78	1	0.308	0.817	84	1	0.143	0.867
chr1	171418404	A	+	m6A	142	0.937	0.148	0.8	70	0.986	0.043	0.767	77	0.935	0.104	0.917	83	0.964	0.072	0.917
chr1	171418456	A	+	m6A	165	0.994	0.224	0.867	83	1	0.108	0.833	90	1	0.333	0.833	90	1	0.111	0.867
chr1	171463662	A	+	m6A	73	0.986	0.274	0.683	26	0.962	0.154	0.683	29	0.966	0.31	0.767	38	0.974	0.211	0.783
chr1	171463754	A	+	m6A	78	0.91	0.218	0.733	40	0.975	0.025	0.533	35	0.943	0.229	0.9	42	0.952	0.143	0.767
chr1	177764197	A	-	m6A	110	1	0.164	0.7	28	1	0.036	0.7	34	1	0.088	0.633	54	0.981	0.056	0.667
chr1	178957375	A	-	m6A	74	0.986	0.068	0.867	54	0.944	0.037	0.867	47	0.957	0.128	0.817	69	0.957	0.043	0.9
chr1	180898700	A	+	m6A	179	0.994	0.101	0.617	65	1	0.015	0.7	31	1	0.161	0.867	90	0.989	0.033	0.867
chr1	180907648	A	+	m6A	227	0.996	0.361	0.767	94	1	0.149	0.733	55	0.945	0.382	0.833	121	0.992	0.124	0.767
chr1	182132115	A	+	m6A	112	0.991	0.25	0.767	50	1	0.02	0.567	25	1	0.32	0.733	41	1	0.195	0.783
chr1	185428151	A	+	m6A	711	0.999	0.082	0.733	334	0.997	0.033	0.8	357	0.994	0.109	0.7	365	0.992	0.03	0.733
chr1	186721281	A	-	m6A	194	0.985	0.17	0.633	91	0.945	0	NA	46	0.935	0.239	0.733	120	0.975	0.092	0.667
chr1	186721321	A	-	m6A	185	0.973	0.281	0.8	84	0.94	0.083	0.933	43	0.977	0.326	0.85	114	0.974	0.132	0.9
chr1	186721470	A	-	m6A	143	0.979	0.14	0.783	58	0.966	0.052	0.567	32	1	0.156	0.7	99	1	0.051	0.8
chr1	189880747	A	-	m6A	94	0.989	0.298	0.833	81	1	0.049	0.633	54	1	0.259	0.733	38	0.974	0.211	0.817
chr1	191622436	A	+	m6A	109	1	0.11	0.633	68	1	0.029	0.633	61	1	0.098	0.7	75	0.987	0.067	0.533
chr1	191622552	A	+	m6A	87	0.839	0.057	0.6	63	0.952	0.063	0.6	55	0.836	0.109	0.8	71	0.915	0.056	0.867
chr1	193107513	A	-	m6A	82	0.915	0.451	0.9	28	0.964	0.143	0.633	25	0.92	0.44	0.933	43	0.977	0.14	0.9
chr2	4908394	A	+	m6A	181	0.989	0.26	0.767	87	0.989	0.046	0.9	64	0.984	0.109	0.733	83	1	0.133	0.7
chr2	4908405	A	+	m6A	184	0.989	0.288	0.767	85	0.988	0.282	0.667	64	0.984	0.234	0.767	80	0.975	0.2	0.817
chr2	4990818	A	-	m6A	288	0.986	0.264	0.833	126	0.984	0.167	0.867	84	0.988	0.298	0.767	183	0.973	0.191	0.7
chr2	11585516	A	-	m6A	349	0.983	0.221	0.8	137	0.985	0.058	0.75	123	0.984	0.285	0.833	235	0.996	0.102	0.75
chr2	11585581	A	-	m6A	365	0.989	0.096	0.733	148	1	0.014	0.717	126	0.992	0.079	0.667	247	0.996	0.02	0.6
chr2	11742752	A	-	m6A	79	0.962	0.063	0.7	32	1	0	NA	32	1	0.062	0.733	54	0.981	0.019	0.967
chr2	11742805	A	-	m6A	70	1	0.214	0.867	31	1	0.032	0.867	30	1	0.167	0.767	52	1	0.115	0.717
chr2	18676110	A	+	m6A	50	1	0.1	0.867	25	0.96	0	NA	33	1	0.061	0.55	46	0.978	0.043	0.817
chr2	23196972	A	+	m6A	121	0.992	0.124	0.767	26	1	0	NA	40	1	0.1	0.75	83	0.988	0.048	0.783
chr2	24959130	A	+	m6A	120	1	0.183	0.633	34	1	0.059	0.683	41	1	0.122	0.633	60	1	0.033	0.65
chr2	24959275	A	+	m6A	132	0.992	0.167	0.75	44	1	0.068	0.967	42	0.952	0.167	0.767	64	0.984	0.094	0.85
chr2	24974343	A	-	m6A	119	0.958	0.294	0.7	66	0.97	0.197	0.8	29	1	0.448	0.767	65	1	0.246	0.867
chr2	24974357	A	-	m6A	113	0.912	0.186	0.633	62	0.984	0.081	0.633	29	1	0.138	0.667	64	0.953	0.109	0.633
chr2	25200121	A	-	m6A	100	0.96	0.07	0.733	42	0.976	0.024	0.7	37	0.946	0.081	0.867	53	0.962	0.019	0.9
chr2	25285519	A	+	m6A	224	0.987	0.089	0.617	117	0.991	0.026	0.533	75	0.987	0.067	0.767	140	0.979	0.029	0.567
chr2	25361654	A	-	m6A	95	0.989	0.2	0.767	54	1	0.037	0.617	69	0.957	0.174	0.8	137	0.993	0.058	0.767
chr2	25376613	A	+	m6A	88	0.989	0.114	0.683	35	1	0	NA	27	1	0.185	0.567	46	0.978	0.043	0.667
chr2	25505408	A	+	m6A	48	1	0.229	0.8	39	1	0.103	0.767	26	0.923	0.385	0.717	53	0.981	0.151	0.883
chr2	25573579	A	-	m6A	137	1	0.051	0.833	99	1	0.02	0.733	74	1	0.108	0.667	107	1	0.028	0.667
chr2	25583306	A	-	m6A	161	0.938	0.385	0.8	70	0.957	0.143	0.867	75	0.96	0.333	0.867	95	0.979	0.274	0.767
chr2	25998852	A	-	m6A	162	0.981	0.34	0.767	63	1	0.206	0.8	50	0.98	0.46	0.833	89	0.989	0.18	0.867
chr2	26209419	A	-	m6A	51	0.961	0.118	0.65	28	1	0.107	0.7	30	1	0.267	0.8	76	0.947	0.053	0.633
chr2	26383036	A	-	m6A	130	0.992	0.138	0.683	61	0.984	0.098	0.633	49	1	0.184	0.567	76	1	0.145	0.567
chr2	26396921	A	+	m6A	188	0.968	0.106	0.85	112	0.982	0.018	0.733	92	0.946	0.25	0.8	116	0.991	0.155	0.8
chr2	26592575	A	+	m6A	161	0.95	0.143	0.8	81	0.988	0	NA	69	0.942	0.159	0.767	88	0.977	0.023	0.833
chr2	26953653	A	-	m6A	131	0.962	0.321	0.833	60	1	0.117	0.767	39	0.923	0.487	0.733	73	0.932	0.192	0.767
chr2	26953727	A	-	m6A	137	0.956	0.401	0.767	61	0.967	0.295	0.833	39	1	0.385	0.733	74	0.973	0.257	0.9
chr2	28470800	A	+	m6A	99	1	0.121	0.917	54	0.944	0.019	0.533	39	1	0.154	0.783	67	0.985	0.015	1
chr2	28470889	A	+	m6A	120	1	0.467	0.8	58	1	0.155	0.933	43	1	0.488	0.867	75	0.987	0.227	0.733
chr2	28566416	A	-	m6A	107	0.981	0.318	0.8	62	0.984	0.081	0.633	42	1	0.5	0.833	65	0.985	0.262	0.733
chr2	28566425	A	-	m6A	110	0.991	0.055	0.767	64	1	0.031	0.817	42	1	0.071	0.867	67	1	0.015	0.7
chr2	28566649	A	-	m6A	64	0.875	0.188	0.7	30	0.967	0.167	0.633	27	0.852	0.259	0.8	38	0.895	0.158	0.633
chr2	29740140	A	+	m6A	139	0.942	0.086	0.667	89	0.978	0.034	0.633	64	0.984	0.125	0.633	94	0.968	0.032	0.767
chr2	29796931	A	+	m6A	70	1	0.114	0.667	47	1	0	NA	25	0.96	0.08	0.9	41	1	0.024	0.967
chr2	30072004	A	+	m6A	681	0.985	0.091	0.8	151	0.987	0.026	0.9	184	0.973	0.076	0.85	440	0.989	0.055	0.733
chr2	30072240	A	+	m6A	1205	0.971	0.09	0.767	395	0.977	0.015	0.8	395	0.97	0.084	0.767	763	0.974	0.026	0.75
chr2	30072382	A	+	m6A	1567	0.99	0.063	0.733	666	0.992	0.02	0.8	581	0.99	0.059	0.767	1001	0.989	0.026	0.733
chr2	30072502	A	+	m6A	1596	0.994	0.069	0.833	677	0.999	0.012	0.8	595	0.998	0.079	0.767	1010	0.996	0.025	0.8
chr2	30091292	A	-	m6A	106	0.991	0.264	0.733	55	1	0.091	0.733	40	1	0.2	0.8	68	0.985	0.088	0.7
chr2	30151613	A	+	m6A	187	0.957	0.096	0.817	108	0.981	0.056	0.833	118	0.983	0.161	0.733	182	0.973	0.011	0.917
chr2	30151847	A	+	m6A	291	0.986	0.11	0.7	277	0.996	0.047	0.7	249	0.996	0.137	0.75	304	1	0.079	0.7
chr2	30173710	A	-	m6A	140	0.857	0.229	0.833	72	0.972	0.208	0.8	70	0.943	0.286	0.883	101	0.921	0.238	0.783
chr2	30173983	A	+	m6A	113	0.991	0.363	0.867	76	1	0.145	0.9	31	0.968	0.355	0.833	60	1	0.25	0.667
chr2	30344071	A	+	m6A	264	0.992	0.125	0.7	88	1	0.011	1	115	1	0.235	0.7	157	1	0.051	0.767
chr2	30472736	A	-	m6A	72	0.903	0.125	0.7	35	0.943	0.057	0.65	36	0.917	0.111	0.7	54	0.889	0.074	0.883
chr2	30472814	A	-	m6A	84	0.976	0.417	0.833	42	0.976	0.333	0.783	38	0.947	0.342	0.8	65	0.969	0.415	0.8
chr2	30472888	A	-	m6A	75	1	0.24	0.833	38	0.974	0.079	0.933	40	1	0.2	0.75	62	0.984	0.194	0.667
chr2	30822485	A	+	m6A	87	0.839	0.057	0.6	39	0.974	0	NA	29	0.931	0.069	0.6	46	0.913	0	NA
chr2	30822820	A	+	m6A	159	0.962	0.082	0.633	123	1	0.049	0.8	67	0.97	0.075	0.6	88	0.989	0.011	0.567
chr2	30822841	A	+	m6A	171	0.918	0.088	0.733	128	0.961	0.016	0.783	71	0.93	0.127	0.733	92	0.935	0.043	0.783
chr2	30822855	A	+	m6A	150	0.973	0.373	0.783	119	0.975	0.092	0.733	69	0.957	0.478	0.833	88	0.966	0.17	0.767
chr2	30960754	A	-	m6A	116	0.991	0.474	0.767	63	1	0.365	0.8	36	1	0.472	0.8	64	1	0.438	0.75
chr2	30960805	A	-	m6A	114	0.965	0.096	0.7	65	0.969	0.046	0.733	36	0.972	0.083	0.667	63	0.952	0.032	0.717
chr2	30960896	A	-	m6A	108	0.972	0.25	0.833	60	0.95	0.117	0.833	34	0.971	0.294	0.733	58	1	0.155	0.733
chr2	30960966	A	-	m6A	91	0.989	0.264	0.767	43	0.977	0.07	0.9	28	0.964	0.179	0.9	45	0.956	0.178	0.833
chr2	30960985	A	-	m6A	97	1	0.093	0.7	41	1	0.049	0.733	30	1	0.133	0.6	48	0.979	0.062	0.767
chr2	31214355	A	+	m6A	46	0.957	0.348	0.817	28	0.929	0.071	0.883	26	0.962	0.462	0.767	38	1	0.053	0.817
chr2	31214484	A	+	m6A	46	0.957	0.065	0.767	29	0.966	0	NA	29	0.862	0.207	0.883	36	1	0.028	0.6
chr2	31214587	A	+	m6A	47	1	0.617	0.867	27	1	0.148	0.867	34	1	0.588	0.883	32	1	0.094	0.833
chr2	32052215	A	+	m6A	123	1	0.057	0.733	84	1	0.06	0.567	53	1	0.094	0.667	90	0.989	0.022	0.717
chr2	32234218	A	+	m6A	108	0.981	0.111	0.817	26	1	0.115	0.867	62	1	0.29	0.9	95	0.979	0.032	0.767
chr2	32573442	A	+	m6A	185	0.995	0.335	0.8	95	1	0.053	0.767	49	1	0.265	0.633	92	0.989	0.141	0.833
chr2	32573472	A	+	m6A	186	0.962	0.118	0.65	96	0.948	0.062	0.683	49	0.939	0.204	0.7	89	0.978	0.045	0.65
chr2	32681955	A	+	m6A	127	0.961	0.551	0.867	52	0.981	0.346	0.933	64	0.953	0.609	0.867	99	0.96	0.434	0.9
chr2	32682690	A	-	m6A	186	0.995	0.183	0.833	116	0.991	0.026	0.833	79	0.987	0.241	0.8	115	0.983	0.122	0.9
chr2	32682975	A	-	m6A	112	0.973	0.393	0.8	54	0.981	0.296	0.85	46	1	0.348	0.9	75	0.987	0.227	0.8
chr2	32683022	A	-	m6A	112	1	0.241	0.7	44	1	0.091	0.783	42	1	0.19	0.733	65	1	0.138	0.767
