Sample	GeneID	Isoform_1	Isoform_2	Site	ModFreq_I1	ModFreq_I2	ΔModFreq(I1-I2)
HepG2	ENSG00000188488	ENST00000554866_0	ENST00000329597_0	94587502	0.4961832061068702	0.4444444444444444	0.0517387616624258
HepG2	ENSG00000171867	ENST00000379440_0	ENST00000424424_0	4700695	0.1565217391304348	0.1	0.05652173913043479
HepG2	ENSG00000188488	ENST00000554866_0	ENST00000329597_0	94587853	0.2900763358778626	0.3086419753086419	-0.018565639430779324
HepG2	ENSG00000169021	ENST00000304863_0	ENST00000304863_1	29207783	0.2	0.2461538461538461	-0.0461538461538461
HepG2	ENSG00000103035	ENST00000219313_0	ENST00000219313_1	74305358	0.1384615384615384	0.1038961038961039	0.03456543456543451
HepG2	ENSG00000169021	ENST00000304863_0	ENST00000304863_1	29207544	0.1846153846153846	0.1692307692307692	0.015384615384615385
HepG2	ENSG00000177733	ENST00000314940_0	ENST00000314940_1	137752879	0.3023255813953488	0.2197802197802197	0.08254536161512913
HepG2	ENSG00000171867	ENST00000379440_0	ENST00000424424_0	4700266	0.0608695652173913	0.1166666666666666	-0.0557971014492753
HepG2	ENSG00000177733	ENST00000314940_0	ENST00000314940_1	137753973	0.2558139534883721	0.2967032967032967	-0.0408893432149246
HepG2	ENSG00000169021	ENST00000304863_0	ENST00000304863_1	29207494	0.0923076923076923	0.123076923076923	-0.0307692307692307
HepG2	ENSG00000196136	ENST00000393078_0	ENST00000556968_0	94614769	0.0841724761167053	0.1463414634146341	-0.062168987297928816
HepG2	ENSG00000147853	ENST00000381809_0	ENST00000381809_1	4712898	0.1176470588235294	0.1320754716981132	-0.01442841287458381
HepG2	ENSG00000101361	ENST00000329276_0	ENST00000492135_0	2658306	0.0824742268041237	0.1228070175438596	-0.040332790739735905
HepG2	ENSG00000117394	ENST00000426263_0	ENST00000426263_1	42926639	0.2532467532467532	0.173076923076923	0.08016983016983023
HepG2	ENSG00000129625	ENST00000379638_0	ENST00000379638_1	112878718	0.1779661016949152	0.0952380952380952	0.08272800645681999
HepG2	ENSG00000134308	ENST00000238081_0	ENST00000238081_1	9630211	0.0888888888888888	0.0851063829787234	0.003782505910165393
HepG2	ENSG00000119888	ENST00000263735_0	ENST00000263735_1	47386851	0.0	0.1007751937984496	-0.1007751937984496
HepG2	ENSG00000232388	ENST00000435844_0	ENST00000411646_0	18569379	0.2805755395683453	0.3773584905660377	-0.09678295099769241
HepG2	ENSG00000101361	ENST00000329276_0	ENST00000492135_0	2656437	0.0618556701030927	0.087719298245614	-0.0258636281425213
HepG2	ENSG00000182512	ENST00000331334_0	ENST00000331334_1	95544310	0.2893617021276595	0.358695652173913	-0.06933395004625353
HepG2	ENSG00000171867	ENST00000379440_0	ENST00000424424_0	4700254	0.3391304347826087	0.3666666666666666	-0.027536231884057905
HepG2	ENSG00000169021	ENST00000304863_0	ENST00000304863_1	29207538	0.2923076923076923	0.2461538461538461	0.04615384615384621
HepG2	ENSG00000115738	ENST00000396290_0	ENST00000396290_1	8684004	0.1083333333333333	0.0847457627118644	0.023587570621468892
HepG2	ENSG00000182512	ENST00000331334_0	ENST00000331334_1	95544174	0.6595744680851063	0.6413043478260869	0.018270120259019418
HepG2	ENSG00000132386	ENST00000254722_0	ENST00000572517_0	1777430	0.0506863780359028	0.0232558139534883	0.0274305640824145
HepG2	ENSG00000103202	ENST00000219479_0	ENST00000219479_1	400537	0.2111111111111111	0.2407407407407407	-0.02962962962962959
HepG2	ENSG00000117394	ENST00000426263_0	ENST00000426263_1	42926881	0.3961038961038961	0.3461538461538461	0.049950049950050035
HepG2	ENSG00000196136	ENST00000393078_0	ENST00000556968_0	94614893	0.1012135295636457	0.073170731707317	0.028042797856328697
